date,ccu_ww,ccu_au,ccu_as,ccu_af,ccu_eu,ccu_sa,ccu_na
2020-01-01 18:50:00,883,220,356,45,62,221,306
2020-01-01 19:00:00,915,230,331,45,62,233,323
2020-01-01 19:10:00,930,230,362,46,62,229,317
2020-01-01 19:20:00,937,228,331,46,63,226,314
2020-01-01 19:30:00,908,223,368,43,64,226,312
2020-01-01 19:40:00,928,225,354,45,61,228,317
2020-01-01 19:50:00,909,223,326,45,63,230,312
2020-01-01 20:00:00,913,223,347,45,62,225,318
2020-01-01 20:10:00,939,234,362,45,65,226,318
2020-01-01 20:20:00,924,231,355,45,63,234,323
2020-01-01 20:30:00,905,232,338,44,63,232,313
2020-01-01 20:40:00,930,222,363,44,63,222,316
2020-01-01 20:50:00,875,220,356,43,61,219,315
2020-01-01 21:00:00,852,215,305,42,58,209,294
2020-01-01 21:10:00,836,203,327,39,54,205,286
2020-01-01 21:20:00,798,201,311,39,53,193,277
2020-01-01 21:30:00,772,194,264,37,55,187,270
2020-01-01 21:40:00,747,181,294,36,50,188,261
2020-01-01 21:50:00,732,175,242,33,48,177,245
2020-01-01 22:00:00,687,166,243,34,48,170,238
2020-01-01 22:10:00,645,164,249,32,44,157,234
2020-01-01 22:20:00,637,156,248,29,42,147,212
2020-01-01 22:30:00,596,145,233,27,39,145,199
2020-01-01 22:40:00,572,139,226,28,40,140,197
2020-01-01 22:50:00,562,137,217,25,37,135,194
2020-01-01 23:00:00,554,130,193,24,37,129,180
2020-01-01 23:10:00,527,130,208,25,34,122,183
2020-01-01 23:20:00,501,122,176,23,34,123,172
2020-01-01 23:30:00,496,123,173,24,33,124,171
2020-01-01 23:40:00,484,117,186,23,32,115,164
2020-01-01 23:50:00,475,118,184,22,30,114,162
2020-01-02 00:00:00,597,146,212,29,39,145,203
2020-01-02 00:10:00,612,151,226,29,41,151,209
2020-01-02 00:20:00,649,156,273,32,44,159,227
2020-01-02 00:30:00,652,162,243,32,47,163,225
2020-01-02 00:40:00,679,166,265,33,45,168,231
2020-01-02 00:50:00,679,172,281,33,47,168,234
2020-01-02 01:00:00,703,175,274,35,45,173,246
2020-01-02 01:10:00,739,179,273,33,50,175,249
2020-01-02 01:20:00,768,192,292,36,51,184,270
2020-01-02 01:30:00,779,192,272,37,52,184,273
2020-01-02 01:40:00,819,199,298,39,53,191,278
2020-01-02 01:50:00,807,198,312,39,54,195,280
2020-01-02 02:00:00,826,185,295,37,47,197,253
2020-01-02 02:10:00,696,170,267,33,46,170,231
2020-01-02 02:20:00,654,163,241,31,44,160,231
2020-01-02 02:30:00,662,163,255,33,45,154,230
2020-01-02 02:40:00,664,160,227,32,44,160,230
2020-01-02 02:50:00,675,167,273,33,46,161,228
2020-01-02 03:00:00,687,168,241,33,47,169,237
2020-01-02 03:10:00,678,170,265,34,46,168,233
2020-01-02 03:20:00,674,165,258,34,47,169,240
2020-01-02 03:30:00,697,171,279,34,48,170,245
2020-01-02 03:40:00,714,175,285,36,49,179,250
2020-01-02 03:50:00,766,187,287,36,49,178,254
2020-01-02 04:00:00,827,203,304,39,55,195,285
2020-01-02 04:10:00,864,215,361,41,59,211,301
2020-01-02 04:20:00,891,225,357,43,62,219,310
2020-01-02 04:30:00,921,221,361,44,61,222,311
2020-01-02 04:40:00,931,233,363,43,62,230,323
2020-01-02 04:50:00,948,221,393,46,64,236,315
2020-01-02 05:00:00,921,225,340,45,62,232,319
2020-01-02 05:10:00,932,238,346,47,66,233,323
2020-01-02 05:20:00,970,242,370,48,65,238,326
2020-01-02 05:30:00,957,235,395,48,67,237,331
2020-01-02 05:40:00,952,243,393,45,64,239,340
2020-01-02 05:50:00,984,236,370,49,66,244,331
2020-01-02 06:00:00,956,242,330,46,66,236,340
2020-01-02 06:10:00,922,233,379,45,64,231,327
2020-01-02 06:20:00,912,229,378,46,65,230,321
2020-01-02 06:30:00,932,230,361,45,62,223,310
2020-01-02 06:40:00,907,223,380,46,61,225,313
2020-01-02 06:50:00,911,234,377,45,63,229,322
2020-01-02 07:00:00,911,233,402,46,64,233,330
2020-01-02 07:10:00,932,224,343,44,60,227,325
2020-01-02 07:20:00,899,228,380,44,63,231,310
2020-01-02 07:30:00,899,221,346,44,63,218,315
2020-01-02 07:40:00,884,216,330,44,62,221,299
2020-01-02 07:50:00,856,210,327,42,58,204,292
2020-01-02 08:00:00,853,212,305,41,58,207,299
2020-01-02 08:10:00,850,201,288,40,55,201,287
2020-01-02 08:20:00,793,190,298,37,55,191,279
2020-01-02 08:30:00,774,199,321,38,52,192,272
2020-01-02 08:40:00,783,196,280,38,55,192,265
2020-01-02 08:50:00,735,180,286,35,52,175,256
2020-01-02 09:00:00,726,175,291,35,49,171,248
2020-01-02 09:10:00,739,182,302,37,50,185,260
2020-01-02 09:20:00,732,176,283,34,48,175,249
2020-01-02 09:30:00,705,174,274,35,47,172,244
2020-01-02 09:40:00,687,176,242,35,47,172,238
2020-01-02 09:50:00,707,175,268,33,47,175,243
2020-01-02 10:00:00,691,169,249,32,48,162,235
2020-01-02 10:10:00,680,174,273,33,46,167,242
2020-01-02 10:20:00,686,174,273,34,48,172,241
2020-01-02 10:30:00,687,169,249,33,47,166,237
2020-01-02 10:40:00,689,172,290,34,45,172,233
2020-01-02 10:50:00,702,170,284,33,45,168,240
2020-01-02 11:00:00,689,174,264,35,47,175,244
2020-01-02 11:10:00,688,171,263,33,46,165,238
2020-01-02 11:20:00,668,167,273,33,47,168,236
2020-01-02 11:30:00,686,174,249,34,48,166,242
2020-01-02 11:40:00,680,167,270,33,47,169,239
2020-01-02 11:50:00,690,173,269,34,48,175,248
2020-01-02 12:00:00,716,172,319,35,49,177,247
2020-01-02 12:10:00,702,178,260,35,48,178,252
2020-01-02 12:20:00,704,165,255,34,47,172,249
2020-01-02 12:30:00,705,172,249,33,48,172,244
2020-01-02 12:40:00,719,180,273,34,50,175,251
2020-01-02 12:50:00,747,187,319,36,50,185,259
2020-01-02 13:00:00,773,188,291,37,52,185,264
2020-01-02 13:10:00,759,191,276,36,53,194,265
2020-01-02 13:20:00,791,188,300,39,53,195,272
2020-01-02 13:30:00,785,200,318,38,55,198,274
2020-01-02 13:40:00,823,196,323,39,55,198,276
2020-01-02 13:50:00,787,199,318,38,55,196,273
2020-01-02 14:00:00,811,200,299,40,55,201,283
2020-01-02 14:10:00,816,206,317,41,56,205,288
2020-01-02 14:20:00,825,201,333,40,57,209,288
2020-01-02 14:30:00,876,212,338,42,57,205,291
2020-01-02 14:40:00,872,211,314,42,58,207,300
2020-01-02 14:50:00,847,213,318,41,57,214,294
2020-01-02 15:00:00,833,207,291,42,58,208,300
2020-01-02 15:10:00,832,208,359,42,59,205,301
2020-01-02 15:20:00,847,207,336,41,58,209,292
2020-01-02 15:30:00,861,206,354,43,60,212,289
2020-01-02 15:40:00,883,219,329,43,58,218,304
2020-01-02 15:50:00,853,217,339,43,57,210,302
2020-01-02 16:00:00,872,212,318,41,59,206,302
2020-01-02 16:10:00,860,211,343,41,60,210,300
2020-01-02 16:20:00,851,207,329,42,58,214,292
2020-01-02 16:30:00,840,207,340,41,59,213,297
2020-01-02 16:40:00,851,211,327,41,60,215,297
2020-01-02 16:50:00,862,213,308,41,59,215,299
2020-01-02 17:00:00,856,208,337,43,59,213,296
2020-01-02 17:10:00,864,215,325,42,59,218,306
2020-01-02 17:20:00,876,219,334,43,60,212,305
2020-01-02 17:30:00,853,217,323,41,59,216,306
2020-01-02 17:40:00,841,210,348,42,58,215,292
2020-01-02 17:50:00,868,211,344,42,59,207,298
2020-01-02 18:00:00,880,216,345,43,59,211,307
2020-01-02 18:10:00,885,212,372,42,59,211,296
2020-01-02 18:20:00,878,210,329,43,60,210,306
2020-01-02 18:30:00,882,212,356,42,59,214,303
2020-01-02 18:40:00,836,212,325,43,59,206,293
2020-01-02 18:50:00,839,210,307,39,58,201,292
2020-01-02 19:00:00,810,198,309,40,57,198,288
2020-01-02 19:10:00,841,199,338,40,56,206,283
2020-01-02 19:20:00,826,206,344,40,55,208,283
2020-01-02 19:30:00,827,206,348,40,56,202,281
2020-01-02 19:40:00,845,204,328,41,56,209,291
2020-01-02 19:50:00,823,206,331,40,57,207,291
2020-01-02 20:00:00,847,202,311,40,57,208,289
2020-01-02 20:10:00,822,200,281,41,56,196,283
2020-01-02 20:20:00,817,205,322,40,56,200,283
2020-01-02 20:30:00,824,199,335,40,56,200,280
2020-01-02 20:40:00,793,194,353,36,53,198,273
2020-01-02 20:50:00,809,196,290,39,54,201,276
2020-01-02 21:00:00,807,204,333,39,54,198,279
2020-01-02 21:10:00,788,189,318,38,54,189,267
2020-01-02 21:20:00,759,184,302,37,52,182,264
2020-01-02 21:30:00,743,186,327,36,53,188,255
2020-01-02 21:40:00,717,177,268,34,48,177,248
2020-01-02 21:50:00,708,167,236,33,47,171,240
2020-01-02 22:00:00,670,162,243,32,45,160,229
2020-01-02 22:10:00,636,161,266,31,43,150,220
2020-01-02 22:20:00,644,154,243,31,44,152,222
2020-01-02 22:30:00,607,149,245,29,41,150,209
2020-01-02 22:40:00,616,151,232,30,41,140,212
2020-01-02 22:50:00,575,136,216,27,40,145,204
2020-01-02 23:00:00,561,136,209,25,38,132,188
2020-01-02 23:10:00,543,130,225,26,36,128,191
2020-01-02 23:20:00,527,129,209,24,36,126,180
2020-01-02 23:30:00,520,125,216,26,34,126,182
2020-01-02 23:40:00,511,126,207,24,31,124,177
2020-01-02 23:50:00,504,124,194,24,34,122,169
2020-01-03 00:00:00,606,148,241,29,41,151,217
2020-01-03 00:10:00,669,157,256,32,44,164,219
2020-01-03 00:20:00,681,165,281,32,45,164,233
2020-01-03 00:30:00,704,174,295,34,48,169,240
2020-01-03 00:40:00,734,184,267,36,48,178,257
2020-01-03 00:50:00,731,183,273,36,51,186,250
2020-01-03 01:00:00,756,188,318,37,51,189,268
2020-01-03 01:10:00,773,194,290,37,53,187,273
2020-01-03 01:20:00,830,197,321,38,56,206,285
2020-01-03 01:30:00,826,213,283,42,57,206,289
2020-01-03 01:40:00,893,221,346,43,58,214,315
2020-01-03 01:50:00,950,232,342,45,64,231,325
2020-01-03 02:00:00,945,221,338,46,60,238,323
2020-01-03 02:10:00,889,218,348,44,60,219,305
2020-01-03 02:20:00,940,224,341,44,64,230,312
2020-01-03 02:30:00,966,237,393,45,66,244,332
2020-01-03 02:40:00,991,247,385,48,68,237,333
2020-01-03 02:50:00,1014,253,394,48,68,244,357
2020-01-03 03:00:00,1044,256,422,50,70,257,353
2020-01-03 03:10:00,1070,263,432,51,72,255,367
2020-01-03 03:20:00,1102,266,418,54,73,270,374
2020-01-03 03:30:00,1123,273,418,56,77,271,386
2020-01-03 03:40:00,1158,290,437,55,78,290,406
2020-01-03 03:50:00,1170,285,460,55,78,292,409
2020-01-03 04:00:00,1141,287,473,58,79,284,400
2020-01-03 04:10:00,1151,290,459,57,81,280,399
2020-01-03 04:20:00,1148,279,436,56,77,275,385
2020-01-03 04:30:00,1157,284,467,53,77,277,398
2020-01-03 04:40:00,1135,281,434,56,80,280,402
2020-01-03 04:50:00,1141,280,456,57,80,279,408
2020-01-03 05:00:00,1217,301,495,60,81,300,421
2020-01-03 05:10:00,1188,302,493,59,83,293,412
2020-01-03 05:20:00,1180,285,476,57,81,286,408
2020-01-03 05:30:00,1164,288,455,58,81,294,411
2020-01-03 05:40:00,1182,283,478,58,81,282,404
2020-01-03 05:50:00,1165,287,452,57,80,285,413
2020-01-03 06:00:00,1161,286,453,56,81,294,407
2020-01-03 06:10:00,1186,289,475,58,79,296,413
2020-01-03 06:20:00,1232,300,473,60,84,300,424
2020-01-03 06:30:00,1196,306,507,60,85,298,427
2020-01-03 06:40:00,1202,297,483,58,81,287,402
2020-01-03 06:50:00,1183,289,486,57,81,290,405
2020-01-03 07:00:00,1149,281,460,56,77,285,404
2020-01-03 07:10:00,1137,286,429,56,79,288,401
2020-01-03 07:20:00,1221,302,464,60,83,291,409
2020-01-03 07:30:00,1232,298,464,57,82,300,426
2020-01-03 07:40:00,1212,296,491,60,83,306,422
2020-01-03 07:50:00,1219,305,462,59,82,306,421
2020-01-03 08:00:00,1220,300,514,60,85,300,428
2020-01-03 08:10:00,1208,296,462,58,81,282,428
2020-01-03 08:20:00,1180,289,454,56,78,285,401
2020-01-03 08:30:00,1140,287,430,56,77,278,392
2020-01-03 08:40:00,1171,288,437,58,80,290,411
2020-01-03 08:50:00,1205,290,489,58,82,304,412
2020-01-03 09:00:00,1206,291,451,56,82,284,408
2020-01-03 09:10:00,1161,282,450,57,77,272,395
2020-01-03 09:20:00,1118,283,448,54,78,280,389
2020-01-03 09:30:00,1074,265,414,53,75,267,383
2020-01-03 09:40:00,1045,250,421,50,71,255,352
2020-01-03 09:50:00,1015,248,374,49,71,247,350
2020-01-03 10:00:00,1000,252,386,50,69,248,356
2020-01-03 10:10:00,981,246,415,46,69,248,343
2020-01-03 10:20:00,1010,242,371,47,68,244,349
2020-01-03 10:30:00,977,241,371,46,66,235,328
2020-01-03 10:40:00,949,232,339,44,63,225,329
2020-01-03 10:50:00,893,222,338,43,60,218,309
2020-01-03 11:00:00,889,214,367,42,61,219,312
2020-01-03 11:10:00,902,222,340,44,60,217,304
2020-01-03 11:20:00,879,217,361,43,62,218,309
2020-01-03 11:30:00,856,217,331,43,61,216,291
2020-01-03 11:40:00,853,214,371,42,60,211,305
2020-01-03 11:50:00,869,212,356,43,60,218,298
2020-01-03 12:00:00,869,211,326,43,54,210,294
2020-01-03 12:10:00,869,208,320,43,60,212,298
2020-01-03 12:20:00,860,215,307,41,59,210,294
2020-01-03 12:30:00,875,217,341,42,58,213,294
2020-01-03 12:40:00,859,217,344,42,60,214,292
2020-01-03 12:50:00,850,208,326,42,59,207,298
2020-01-03 13:00:00,863,206,311,41,59,213,289
2020-01-03 13:10:00,860,214,310,43,60,212,302
2020-01-03 13:20:00,885,219,346,43,61,216,314
2020-01-03 13:30:00,909,226,358,44,64,226,316
2020-01-03 13:40:00,922,226,375,45,63,228,329
2020-01-03 13:50:00,961,240,352,46,65,232,321
2020-01-03 14:00:00,975,244,360,48,66,234,334
2020-01-03 14:10:00,965,231,406,46,64,238,324
2020-01-03 14:20:00,951,235,363,47,66,241,329
2020-01-03 14:30:00,985,241,397,48,67,248,347
2020-01-03 14:40:00,1019,253,382,49,67,250,356
2020-01-03 14:50:00,1027,253,385,51,71,250,364
2020-01-03 15:00:00,1060,255,407,51,72,257,368
2020-01-03 15:10:00,1068,262,375,52,72,260,368
2020-01-03 15:20:00,1050,257,394,51,71,252,359
2020-01-03 15:30:00,1030,254,377,49,70,253,354
2020-01-03 15:40:00,986,245,386,49,69,244,345
2020-01-03 15:50:00,980,247,390,49,68,240,347
2020-01-03 16:00:00,964,239,375,48,66,240,333
2020-01-03 16:10:00,1016,245,421,48,69,241,342
2020-01-03 16:20:00,1006,247,410,49,70,246,338
2020-01-03 16:30:00,973,243,395,47,67,239,331
2020-01-03 16:40:00,974,246,365,48,68,235,332
2020-01-03 16:50:00,962,245,370,47,68,238,341
2020-01-03 17:00:00,978,250,366,49,66,246,348
2020-01-03 17:10:00,1035,252,386,49,70,249,356
2020-01-03 17:20:00,1036,255,387,49,69,257,353
2020-01-03 17:30:00,1027,250,380,48,70,256,357
2020-01-03 17:40:00,1028,248,371,50,70,254,354
2020-01-03 17:50:00,1048,261,432,51,71,260,365
2020-01-03 18:00:00,1049,253,431,52,70,255,364
2020-01-03 18:10:00,1007,260,415,50,71,256,358
2020-01-03 18:20:00,1012,249,408,52,69,253,350
2020-01-03 18:30:00,1014,258,422,50,67,250,356
2020-01-03 18:40:00,1023,246,399,52,69,247,347
2020-01-03 18:50:00,1011,242,372,48,67,247,347
2020-01-03 19:00:00,998,245,384,48,69,242,340
2020-01-03 19:10:00,966,236,376,47,65,237,337
2020-01-03 19:20:00,966,234,376,48,67,240,348
2020-01-03 19:30:00,989,245,363,47,66,243,332
2020-01-03 19:40:00,990,247,341,49,69,236,340
2020-01-03 19:50:00,1026,256,397,50,68,249,357
2020-01-03 20:00:00,976,247,380,49,67,243,342
2020-01-03 20:10:00,999,249,410,49,68,251,345
2020-01-03 20:20:00,987,242,364,49,70,246,344
2020-01-03 20:30:00,975,250,374,48,68,247,340
2020-01-03 20:40:00,996,244,388,46,65,234,342
2020-01-03 20:50:00,972,238,387,47,65,238,342
2020-01-03 21:00:00,943,230,358,45,64,229,327
2020-01-03 21:10:00,914,226,391,45,62,229,317
2020-01-03 21:20:00,889,219,354,44,60,227,308
2020-01-03 21:30:00,916,221,360,45,61,229,313
2020-01-03 21:40:00,881,218,347,43,62,217,304
2020-01-03 21:50:00,873,210,308,40,58,209,296
2020-01-03 22:00:00,831,208,339,42,60,203,294
2020-01-03 22:10:00,836,199,313,38,54,203,276
2020-01-03 22:20:00,817,194,331,40,56,199,274
2020-01-03 22:30:00,770,192,282,37,52,188,265
2020-01-03 22:40:00,743,182,285,34,46,181,256
2020-01-03 22:50:00,714,170,280,34,48,175,243
2020-01-03 23:00:00,709,174,296,33,48,172,236
2020-01-03 23:10:00,682,162,256,33,46,164,237
2020-01-03 23:20:00,663,157,226,31,43,158,220
2020-01-03 23:30:00,612,150,224,29,41,153,207
2020-01-03 23:40:00,586,145,232,26,40,145,202
2020-01-03 23:50:00,574,142,210,28,40,140,207
2020-01-04 00:00:00,677,172,277,33,47,170,236
2020-01-04 00:10:00,696,171,273,33,48,167,246
2020-01-04 00:20:00,721,172,269,34,48,172,244
2020-01-04 00:30:00,724,175,296,35,49,174,246
2020-01-04 00:40:00,726,177,279,34,48,172,247
2020-01-04 00:50:00,713,173,279,35,50,180,249
2020-01-04 01:00:00,739,179,260,35,50,177,252
2020-01-04 01:10:00,750,179,286,36,48,181,255
2020-01-04 01:20:00,736,184,269,37,50,184,262
2020-01-04 01:30:00,761,179,282,36,49,184,260
2020-01-04 01:40:00,725,184,258,36,49,179,258
2020-01-04 01:50:00,724,179,277,35,49,176,252
2020-01-04 02:00:00,713,172,255,35,45,167,234
2020-01-04 02:10:00,608,152,226,30,42,148,210
2020-01-04 02:20:00,595,149,219,30,40,145,211
2020-01-04 02:30:00,619,151,222,30,43,150,211
2020-01-04 02:40:00,619,154,244,29,43,154,214
2020-01-04 02:50:00,625,158,224,31,44,153,222
2020-01-04 03:00:00,632,158,222,31,44,156,227
2020-01-04 03:10:00,651,158,244,30,44,161,226
2020-01-04 03:20:00,633,155,260,31,44,160,223
2020-01-04 03:30:00,637,155,234,31,42,155,215
2020-01-04 03:40:00,652,159,237,31,44,155,218
2020-01-04 03:50:00,644,160,274,30,45,154,216
2020-01-04 04:00:00,648,158,275,30,43,154,222
2020-01-04 04:10:00,639,157,267,31,45,156,222
2020-01-04 04:20:00,653,163,269,31,46,157,231
2020-01-04 04:30:00,676,162,245,31,45,163,226
2020-01-04 04:40:00,681,161,269,32,46,162,239
2020-01-04 04:50:00,662,165,246,34,47,164,235
2020-01-04 05:00:00,681,161,265,32,46,163,233
2020-01-04 05:10:00,682,173,255,33,48,171,241
2020-01-04 05:20:00,713,171,285,34,47,172,243
2020-01-04 05:30:00,734,182,284,35,49,184,250
2020-01-04 05:40:00,776,193,305,36,51,187,264
2020-01-04 05:50:00,774,190,283,38,54,193,272
2020-01-04 06:00:00,790,199,291,39,53,196,269
2020-01-04 06:10:00,795,197,294,39,55,193,273
2020-01-04 06:20:00,806,200,326,40,54,199,285
2020-01-04 06:30:00,851,208,275,41,57,202,289
2020-01-04 06:40:00,857,208,346,41,58,207,293
2020-01-04 06:50:00,869,210,320,43,61,212,298
2020-01-04 07:00:00,886,217,364,44,62,220,304
2020-01-04 07:10:00,897,219,356,44,60,226,317
2020-01-04 07:20:00,915,230,342,44,63,230,312
2020-01-04 07:30:00,905,226,363,45,62,222,321
2020-01-04 07:40:00,918,225,332,44,62,223,319
2020-01-04 07:50:00,917,231,385,45,62,225,320
2020-01-04 08:00:00,944,229,355,47,62,231,316
2020-01-04 08:10:00,947,228,364,47,64,231,319
2020-01-04 08:20:00,939,232,322,44,64,225,317
2020-01-04 08:30:00,921,225,366,45,65,224,316
2020-01-04 08:40:00,915,222,368,44,62,221,319
2020-01-04 08:50:00,895,221,358,43,61,222,317
2020-01-04 09:00:00,882,221,340,44,61,221,301
2020-01-04 09:10:00,877,216,317,42,59,216,300
2020-01-04 09:20:00,861,209,326,41,58,211,293
2020-01-04 09:30:00,821,200,326,41,55,203,286
2020-01-04 09:40:00,816,201,307,40,57,202,287
2020-01-04 09:50:00,802,199,305,39,56,205,283
2020-01-04 10:00:00,803,198,301,39,53,192,283
2020-01-04 10:10:00,791,197,287,37,52,194,274
2020-01-04 10:20:00,770,190,299,37,54,189,264
2020-01-04 10:30:00,785,188,298,38,54,195,264
2020-01-04 10:40:00,773,197,276,39,53,192,270
2020-01-04 10:50:00,781,191,278,38,52,193,260
2020-01-04 11:00:00,774,194,289,37,53,189,269
2020-01-04 11:10:00,773,187,304,38,52,191,272
2020-01-04 11:20:00,759,191,288,36,52,193,271
2020-01-04 11:30:00,762,192,311,38,53,190,263
2020-01-04 11:40:00,786,196,310,38,53,193,270
2020-01-04 11:50:00,785,194,301,39,54,197,275
2020-01-04 12:00:00,803,198,295,39,55,197,274
2020-01-04 12:10:00,800,196,299,38,54,200,280
2020-01-04 12:20:00,774,196,289,37,54,189,271
2020-01-04 12:30:00,785,193,279,38,54,190,268
2020-01-04 12:40:00,765,192,275,37,52,188,268
2020-01-04 12:50:00,798,196,298,39,55,191,275
2020-01-04 13:00:00,793,203,288,38,56,199,282
2020-01-04 13:10:00,807,200,301,39,57,198,280
2020-01-04 13:20:00,824,207,337,39,55,195,290
2020-01-04 13:30:00,849,210,330,41,59,211,288
2020-01-04 13:40:00,861,218,337,43,59,211,300
2020-01-04 13:50:00,862,217,365,41,59,218,308
2020-01-04 14:00:00,886,222,345,45,60,217,313
2020-01-04 14:10:00,879,221,334,43,62,214,303
2020-01-04 14:20:00,892,226,329,44,63,223,316
2020-01-04 14:30:00,920,228,360,45,62,225,324
2020-01-04 14:40:00,923,224,387,47,64,228,324
2020-01-04 14:50:00,931,230,378,44,65,225,319
2020-01-04 15:00:00,904,226,389,43,63,221,318
2020-01-04 15:10:00,938,225,352,45,63,224,320
2020-01-04 15:20:00,901,221,357,46,63,227,321
2020-01-04 15:30:00,916,218,338,43,61,221,304
2020-01-04 15:40:00,891,216,325,42,59,217,305
2020-01-04 15:50:00,887,220,335,44,59,218,316
2020-01-04 16:00:00,900,217,331,44,60,216,303
2020-01-04 16:10:00,898,224,362,44,61,223,316
2020-01-04 16:20:00,912,230,351,45,62,228,315
2020-01-04 16:30:00,948,231,353,46,62,230,328
2020-01-04 16:40:00,951,235,349,47,66,229,323
2020-01-04 16:50:00,970,236,378,47,68,238,338
2020-01-04 17:00:00,959,243,366,47,68,241,340
2020-01-04 17:10:00,1004,244,357,48,67,239,348
2020-01-04 17:20:00,971,244,358,48,68,241,339
2020-01-04 17:30:00,1006,251,411,47,69,253,350
2020-01-04 17:40:00,1029,250,382,50,72,253,353
2020-01-04 17:50:00,1040,251,408,50,67,256,362
2020-01-04 18:00:00,1025,253,377,50,70,259,359
2020-01-04 18:10:00,1049,260,390,51,73,255,360
2020-01-04 18:20:00,1041,253,426,51,71,254,354
2020-01-04 18:30:00,1007,250,389,50,70,251,351
2020-01-04 18:40:00,975,243,418,48,67,247,342
2020-01-04 18:50:00,1014,246,426,48,68,243,350
2020-01-04 19:00:00,963,241,376,48,66,240,331
2020-01-04 19:10:00,957,235,377,48,67,243,342
2020-01-04 19:20:00,977,245,432,48,67,240,341
2020-01-04 19:30:00,1002,247,412,47,66,247,335
2020-01-04 19:40:00,988,243,374,47,66,244,349
2020-01-04 19:50:00,981,240,403,48,67,242,344
2020-01-04 20:00:00,1007,241,376,47,65,244,339
2020-01-04 20:10:00,941,234,356,47,65,234,330
2020-01-04 20:20:00,938,241,351,46,64,240,333
2020-01-04 20:30:00,958,235,399,47,64,236,325
2020-01-04 20:40:00,954,238,383,48,66,242,336
2020-01-04 20:50:00,922,235,350,47,65,225,322
2020-01-04 21:00:00,943,231,362,45,62,225,324
2020-01-04 21:10:00,900,220,341,44,62,218,316
